Group,Name,Mandatory,Importance,Default Value,Description
Partitioner,CONNECTOR_PATH_FORMAT,Optional,MEDIUM,,"This configuration is used to set the format of the data directories when partitioning with ``TimeBasedPartitioner``. The format set in this configuration converts the Unix timestamp to proper directories strings. For example, if you set ``path.format='year'=YYYY/'month'=MM/'day'=dd/'hour'=HH``, the data directories will have the format ``/year=2015/month=12/day=07/hour=15/``."
Partitioner,CONNECTOR_LOCALE,Optional,MEDIUM,,The locale to use when partitioning with ``TimeBasedPartitioner``.
Partitioner,CONNECTOR_TIMEZONE,Optional,MEDIUM,,The timezone to use when partitioning with ``TimeBasedPartitioner``.
Partitioner,CONNECTOR_TIMESTAMP_EXTRACTOR,Optional,MEDIUM,Wallclock,"The extractor that gets the timestamp for records when partitioning with ``TimeBasedPartitioner``. It can be set to ``Wallclock``, ``Record`` or ``RecordField`` in order to use one of the built-in timestamp extractors or be given the fully-qualified class name of a user-defined class that extends the ``TimestampExtractor`` interface."
Partitioner,CONNECTOR_TIMESTAMP_FIELD,Optional,MEDIUM,timestamp,The record field to be used as timestamp by the timestamp extractor.
Connector,CONNECTOR_SHUTDOWN_TIMEOUT_MS,Optional,MEDIUM,3000,Clean shutdown timeout. This makes sure that asynchronous Hive metastore updates are completed during connector shutdown.
Parquet,CONNECTOR_PARQUET_CODEC,Optional,MEDIUM,snappy,"The Compression codec to be used for parquet files written in s3, Available Options : uncompressed, snappy, gzip, Default Value : snappy"
Parquet,CONNECTOR_PARQUET_PAGE_SIZE,Optional,MEDIUM,1048576,"The page size to be used for the the Parquet files written in s3 in bytes, Default Value : 1048576"
Parquet,CONNECTOR_PARQUET_ROW_GROUP_SIZE,Optional,MEDIUM,134217728,"The Row Group to be used for the the Parquet files written in s3 in bytes, Default Value : 134217728"
Parquet,CONNECTOR_PARQUET_DICTIONARY_PAGE_SIZE,Optional,MEDIUM,1048576,"The Dictionary Page Size to be used for the the Parquet files written in s3 in bytes, Default Value : 1048576"
Parquet,CONNECTOR_PARQUET_MAX_PADDING_SIZE,Optional,MEDIUM,8388608,"The Parquet format max padding size in bytes, that will be used to align  row groups with blocks in the underlying filesystem. If the underlying filesystem is not a block filesystem like HDFS, this has no effect. Default Value : 8388608"
Parquet,CONNECTOR_PARQUET_ENABLE_DICTIONARY,Optional,MEDIUM,TRUE,"Boolean which represents if Dictionary encoding is enabled or not for the parquet files written in s3, Default Value : true"
Parquet,CONNECTOR_PARQUET_ENABLE_VALIDATION,Optional,MEDIUM,FALSE,"Boolean string which represents if the schema validation should be strictly enforced for the parquet files written in s3, Default value : false"
Parquet,CONNECTOR_PARQUET_WRITER_VERSION,Optional,LOW,v1,"The Version of ParquetWriter api to Use. See org.apache.parquet.column.ParquetProperties.WriterVersion, Available Values : v1, v2, Default Value : v1"
Tenant,CONNECTOR_MULTITENANCY_ENABLED,Optional,HIGH,TRUE,"Boolean string which represents if the s3 connector should operate in multi-tenant mode or not, Default Value : trueIf configured 'false' data will be not be segregated by tenants in s3 bucket"
